title,link,text,clean_text,word_count,topic
"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5470433/,"Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana","Data for characterization of SALK_084889, a T-DNA insertion line of Arabidopsis thaliana",8,1
Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491145/,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?,11,1
Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5996828/,Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,Phenotypic characterization of an Arabidopsis T- DNA insertion line SALK_063500,7,1
Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201722/,Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,Utilization of single‚Äêimage normalized difference vegetation index (SI‚ÄêNDVI) for early plant stress detection,11,1
Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240453/,Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight.,13,1
Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6447593/,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,Spaceflight-induced alternative splicing during seedling development in Arabidopsis thaliana.,7,1
The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7264257/,The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,The Plant Health Monitoring System of the EDEN ISS Space Greenhouse in Antarctica during the 2018 experiment phase,11,1
Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7064724/,Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,Root skewing-associated genes impact the spaceflight response of Arabidopsis thaliana.,8,1
Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6379395/,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,Articular cartilage and sternal fibrocartilage respond differently to extended microgravity.,8,3
Host-microbe interactions in microgravity: assessment and implications.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187166/,Host-microbe interactions in microgravity: assessment and implications.,Host-microbe interactions in microgravity: assessment and implications.,5,0
Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5219934/,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,Environmental cues and symbiont microbe-associated molecular patterns function in concert to drive the daily remodelling of the crypt-cell brush border of the Euprymna scolopes light organ,18,6
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,8,6
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,12,-1
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,9,6
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,10,-1
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,15,-1
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,11,-1
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,11,0
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,Spaceflight alters host-gut microbiota interactions,Spaceflight alters host-gut microbiota interactions,5,0
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,12,0
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,10,0
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,Characterization of metagenome-assembled genomes from the International Space Station,Characterization of metagenome-assembled genomes from the International Space Station,6,0
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,Biocontrol in built environments to reduce pathogen exposure and infection risk.,Biocontrol in built environments to reduce pathogen exposure and infection risk.,8,0
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,8,1
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Calcium, mechanical signaling, and tip growth","Calcium, mechanical signaling, and tip growth",5,1
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Calcium, mechanical signaling, and tip growth","Calcium, mechanical signaling, and tip growth",5,1
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"Calcium, mechanical signaling, and tip growth","Calcium, mechanical signaling, and tip growth",5,1
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropism and mechanical signaling in plants.,Gravitropism and mechanical signaling in plants.,4,1
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropism and mechanical signaling in plants.,Gravitropism and mechanical signaling in plants.,4,1
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropism and mechanical signaling in plants.,Gravitropism and mechanical signaling in plants.,4,1
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.","Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",9,1
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropic signaling in plants,Gravitropic signaling in plants,3,1
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropic signaling in plants,Gravitropic signaling in plants,3,1
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropic signaling in plants,Gravitropic signaling in plants,3,1
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,9,1
A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,A ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,13,1
"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,"ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants","ROS, calcium and electric signals: Key mediators of rapid systemic signaling in plants",10,1
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,11,1
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals","Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",8,1
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"Glutamate triggers long-distance, calcium-based plant defense signaling.","Glutamate triggers long-distance, calcium-based plant defense signaling.",7,1
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,12,1
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,8,1
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,The fast and the furious: Rapid long-range signaling in plants.,The fast and the furious: Rapid long-range signaling in plants.,6,1
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,8,4
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,9,1
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,8,1
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture","Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",7,4
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,9,4
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,11,2
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,Hindlimb Unloading: Rodent Analog for Microgravity,Hindlimb Unloading: Rodent Analog for Microgravity,5,3
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,7,2
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,8,3
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,11,2
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,Skeletal tissue regulation by catalase over-expression in mitochondria,Skeletal tissue regulation by catalase over-expression in mitochondria,6,-1
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,12,-1
An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4647464/,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,An extensive allelic series of Drosophila kae1 mutants reveals diverse and tissue-specific requirements for t6A biogenesis,11,6
Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5659752/,Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,Novel Organelles with Elements of Bacterial and Eukaryotic Secretion Systems Weaponize Parasites of Drosophila,10,6
A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6372189/,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,A combined computational strategy of sequence and structural analysis predicts the existence of a functional eicosanoid pathway in Drosophila melanogaster.,13,6
Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945029/,Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,Immune suppressive extracellular vesicle proteins of Leptopilina heterotoma are encoded in the wasp genome.,10,6
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,12,6
Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model.,12,6
A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8191917/,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,A parasitoid wasp of Drosophila employs preemptive and reactive strategies to deplete its host's blood cells,11,6
In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9865768/,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,In Silico Analysis of a Drosophila Parasitoid Venom Peptide Reveals Prevalence of the Cation‚ÄìPolar‚ÄìCation Clip Motif in Knottin Proteins,13,6
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids.,8,6
Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10797188/,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,Drosophila parasitoids go to space: Unexpected effects of spaceflight on hosts and their parasitoids,8,6
Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555395/,Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,Simultaneous exposure of cultured human lymphoblastic cells to simulated microgravity and radiation increases chromosome aberrations,12,4
Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4309212/,Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,Genes required for survival in microgravity revealed by genome-wide yeast deletion collections cultured during spaceflight.,11,0
Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6560652/,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,Physical Forces Modulate Oxidative Status and Stress Defense Meditated Metabolic Adaptation of Yeast Colonies: Spaceflight and Microgravity Simulations,15,0
Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6321533/,Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,Effects of space flight on mouse liver versus kidney: Gene pathway analyses.,10,2
Yeast in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12040010/,Yeast in Space,Yeast in Space,2,0
Endocrine Effects of Space Flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11833055/,Endocrine Effects of Space Flight,Endocrine Effects of Space Flight,4,2
Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9146534/,Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,Role of shear stress on renal proximal tubular cells for nephrotoxicity assays,9,-1
Bone hemodynamic responses to changes in external pressure.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11492218/,Bone hemodynamic responses to changes in external pressure.,Bone hemodynamic responses to changes in external pressure.,6,3
Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6339989/,Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,Back pain in space and post-flight spine injury: Mechanisms and countermeasure development,9,3
Fifteen days of microgravity causes growth in calvaria of mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4110898/,Fifteen days of microgravity causes growth in calvaria of mice,Fifteen days of microgravity causes growth in calvaria of mice,7,3
Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947616/,Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,Altered disc compression in children with idiopathic low back pain: an upright magnetic resonance imaging backpack study,14,3
Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5477841/,Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,Spaceflight-induced bone loss alters failure mode and reduces bending strength in murine spinal segments.,12,3
Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9139491/,Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,Spaceflight-associated vascular remodeling and gene expression in mouse calvaria.,7,2
"Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515531/,"Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.","Exposure of Mycobacterium marinum to low-shear modeled microgravity: Effect on growth, the transcriptome and survival under stress.",11,0
Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258067/,Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,Effects of mechanostimulation on gravitropism and signal persistence in flax roots.,7,1
Oxygen dependency of germinating Brassica seeds.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10025027/,Oxygen dependency of germinating Brassica seeds.,Oxygen dependency of germinating Brassica seeds.,5,1
"Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733933/,"Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides","Desiccation mitigates heat stress in the resurrection fern, Pleopeltis polypodioides",8,1
Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9105288/,Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,Transcription profile of auxin related genes during positively gravitropic hypocotyl curvature of Brassica rapa.,11,1
High-gradient magnetic fields and starch metabolism: Results from a space experiment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9617909/,High-gradient magnetic fields and starch metabolism: Results from a space experiment.,High-gradient magnetic fields and starch metabolism: Results from a space experiment.,8,2
Lipid rafts and plant gravisensitivity.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9695138/,Lipid rafts and plant gravisensitivity.,Lipid rafts and plant gravisensitivity.,4,1
Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503204/,Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,Expression and characterization of the bacterial mechanosensitive channel MscS in Xenopus laevis oocytes,9,8
United in Diversity: Mechanosensitive Ion Channels in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5896955/,United in Diversity: Mechanosensitive Ion Channels in Plants,United in Diversity: Mechanosensitive Ion Channels in Plants,6,8
Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4469364/,Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,Expressing and Characterizing Mechanosensitive Channels in Xenopus Oocytes,6,8
The ongoing search for the molecular basis of plant osmosensing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,The ongoing search for the molecular basis of plant osmosensing,The ongoing search for the molecular basis of plant osmosensing,6,1
Plastid osmotic stress influences cell differentiation at the plant shoot apex.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5047659/,Plastid osmotic stress influences cell differentiation at the plant shoot apex.,Plastid osmotic stress influences cell differentiation at the plant shoot apex.,9,1
Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5454470/,Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,Spaceflight-induced synaptic modifications within hair cells of the mammalian utricle.,8,2
Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5515506/,Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,Effects of angular frequency during clinorotation on mesenchymal stem cell morphology and migration,9,-1
"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3044105/,"The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization.","The role of FGF-2 and BMP-2 in regulation of gene induction, cell proliferation and mineralization.",9,3
"Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3002170/,"Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer.","Nutritional supplements, COX-2 and IGF-1 expression in men on active surveillance for prostate cancer.",10,3
To Infinity and Beyond! Human spaceflight and life science.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188462/,To Infinity and Beyond! Human spaceflight and life science.,To Infinity and Beyond! Human spaceflight and life science.,6,5
Hyperoxia inhibits T cell activation in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11470607/,Hyperoxia inhibits T cell activation in mice,Hyperoxia inhibits T cell activation in mice,5,2
